Brand,Memory,Storage,Rating,Selling Price,Cluster,Price Change,Rating Change,Elasticity
ASUS,6,128,4.3,38999,Cluster 0,-0.113638946,-0.044444444,0.391102222
SAMSUNG,8,128,4.3,39000,Cluster 0,3.285714286,-0.022727273,-0.006916996
Nokia,4,64,4,39000,Cluster 1,0.054082543,0,0
SAMSUNG,4,32,4.1,39899,Cluster 2,0.899952381,-0.046511628,-0.051682321
SAMSUNG,4,128,4.4,39900,Cluster 0,4.284768212,0.1,0.023338485
SAMSUNG,6,128,4.3,39990,Cluster 0,1.618689018,0.102564103,0.06336245
vivo,3,64,4.4,39990,Cluster 0,-0.200040008,0.047619048,-0.238047619
vivo,8,128,4.3,39990,Cluster 0,1.500938086,-0.044444444,-0.029611111
OPPO,12,256,4.4,39990,Cluster 0,1.175734494,0.023255814,0.019779818
OPPO,12,256,4.4,39990,Cluster 0,0.356098884,-0.022222222,-0.062404639
IQOO,12,256,4.4,39990,Cluster 0,0.052645433,0,0
SAMSUNG,8,128,4.3,39999,Cluster 0,1.666777785,0.023809524,0.014284762
SAMSUNG,8,128,4.6,39999,Cluster 0,-0.456535326,0,0
SAMSUNG,8,128,4.3,39999,Cluster 0,1.222290127,0,0
SAMSUNG,8,128,4.3,39999,Cluster 0,-0.658125283,0,0
SAMSUNG,8,128,4.6,39999,Cluster 0,10.43155187,0.095238095,0.009129811
Xiaomi,8,128,4.4,39999,Cluster 0,0.102204464,0.047619048,0.465919449
OPPO,12,256,4.2,39999,Cluster 0,2.636603328,-0.023255814,-0.008820369
SAMSUNG,3,64,4,39999,Cluster 1,1.4999375,-0.069767442,-0.046513566
Apple,1,16,4.5,39999,Cluster 2,-0.271420765,-0.02173913,0.080093837
Apple,1,16,4.5,39999,Cluster 2,-0.271420765,-0.02173913,0.080093837
Google Pixel,4,64,4.5,39999,Cluster 0,-0.518084337,-0.02173913,0.041960602
Google Pixel,4,64,4.5,39999,Cluster 0,-0.428585714,-0.02173913,0.050722947
SAMSUNG,2,16,3.9,40690,Cluster 1,12.65436242,-0.071428571,-0.005644581
Nokia,1,32,4.3,40699,Cluster 2,1.660239231,0.048780488,0.029381602
SAMSUNG,8,128,4.5,40999,Cluster 0,4.694305556,0.125,0.026628007
SAMSUNG,8,128,4.5,40999,Cluster 0,1.411989646,0.022727273,0.01609592
SAMSUNG,8,128,4.5,40999,Cluster 0,0.490926943,0.022727273,0.046294613
Apple,1,16,4.5,40999,Cluster 2,-0.448938172,0,0
ASUS,8,128,4.6,40999,Cluster 0,6.194069135,0.210526316,0.03398837
SAMSUNG,4,32,4.4,41900,Cluster 2,0.829694323,0.023255814,0.028029376
SAMSUNG,4,32,4.4,41900,Cluster 2,1.096048024,0.073170732,0.066758691
SAMSUNG,4,32,4.4,41900,Cluster 2,0.57518797,0,0
SAMSUNG,4,32,4.4,41900,Cluster 2,2.81255687,0.073170732,0.026015734
OPPO,12,256,4.4,41990,Cluster 0,2.001429593,0,0
OPPO,8,256,4.4,41990,Cluster 0,0.076942806,-0.022222222,-0.288814815
Apple,2,16,4.5,41999,Cluster 2,-0.158336673,-0.02173913,0.137296875
Apple,2,16,4.5,41999,Cluster 2,0.135138788,0,0
realme,8,128,4.3,41999,Cluster 0,0.105265928,0,0
realme,8,128,4.3,41999,Cluster 0,-0.125002604,0,0
realme,12,256,4.3,41999,Cluster 0,5.462378828,-0.022727273,-0.004160691
SAMSUNG,2,32,3.6,42000,Cluster 1,-0.321486268,-0.181818182,0.565555048
LG,3,16,4.5,42021,Cluster 2,6.373398842,0.184210526,0.028903028
Apple,3,128,4.5,42900,Cluster 0,-0.442849907,-0.042553191,0.096089422
Apple,3,128,4.5,42900,Cluster 0,-0.442849907,-0.042553191,0.096089422
Apple,3,128,4.5,42900,Cluster 0,-0.533188248,-0.02173913,0.040771961
Apple,3,128,4.5,42900,Cluster 0,-0.31903681,-0.042553191,0.133380194
Apple,3,128,4.5,42900,Cluster 0,-0.64633141,-0.02173913,0.03363465
Apple,3,128,4.5,42900,Cluster 0,-0.570570571,-0.02173913,0.038100686
Apple,3,64,4.6,42999,Cluster 0,0.303039486,0.022222222,0.073331111
Apple,3,64,4.6,42999,Cluster 0,-0.402783372,0.022222222,-0.055171648
Apple,3,64,4.6,42999,Cluster 0,-0.104168837,0,0
Apple,3,64,4.6,42999,Cluster 0,-0.632801025,-0.021276596,0.033622884
Apple,3,64,4.6,42999,Cluster 0,-0.402783372,0.022222222,-0.055171648
Apple,3,64,4.6,42999,Cluster 0,-0.674003033,-0.021276596,0.031567507
Apple,3,64,4.6,42999,Cluster 0,-0.328130127,0,0
Apple,3,64,4.6,42999,Cluster 0,-0.216775956,0,0
Apple,3,64,4.6,42999,Cluster 0,-0.337457627,0,0
Apple,3,64,4.6,42999,Cluster 0,-0.1400028,0.045454545,-0.324668831
Xiaomi,8,256,4.3,42999,Cluster 0,2.073552538,0,0
vivo,12,256,4.1,43990,Cluster 0,0.12823801,-0.046511628,-0.362697674
ASUS,8,256,4.3,43999,Cluster 0,-0.241383472,-0.044444444,0.18412381
ASUS,8,256,4.3,43999,Cluster 0,8.016188525,0.194444444,0.024256471
ASUS,8,256,4.3,43999,Cluster 0,1.200060003,0,0
ASUS,8,256,4.5,43999,Cluster 0,4.867315642,0.097560976,0.020044103
Apple,2,128,4.5,44900,Cluster 0,-0.064563845,-0.02173913,0.336707493
Apple,2,128,4.5,44900,Cluster 0,-0.349265931,-0.02173913,0.062242345
Apple,2,128,4.5,44900,Cluster 0,-0.100200401,-0.02173913,0.216956522
Apple,2,128,4.5,44900,Cluster 0,-0.100200401,-0.02173913,0.216956522
Apple,2,128,4.5,44900,Cluster 0,-0.30816641,-0.02173913,0.070543478
SAMSUNG,3,32,4,44900,Cluster 1,4.113895216,-0.047619048,-0.011575173
SAMSUNG,3,32,4,44900,Cluster 1,-0.389945652,-0.130434783,0.334494774
vivo,8,256,5,44990,Cluster 4,-0.181851246,0.111111111,-0.611
LG,6,128,4.4,44990,Cluster 0,4.850455137,0.1,0.020616622
LG,6,128,4.4,44990,Cluster 0,3.093721565,0.128205128,0.041440422
Apple,1,64,4.4,44999,Cluster 0,-0.098216433,-0.043478261,0.442678069
Google Pixel,4,64,4.5,44999,Cluster 0,0.406262696,0,0
Google Pixel,4,64,4.5,44999,Cluster 0,-0.357147959,0,0
LG,3,16,4.1,45449,Cluster 2,4.347570302,0.025,0.005750338
Xiaomi,8,256,4.2,45871,Cluster 0,-0.165966654,0,0
SAMSUNG,8,512,4.5,45999,Cluster 4,0.586227111,0.022727273,0.038768717
SAMSUNG,4,32,4.1,46300,Cluster 2,1.316158079,-0.068181818,-0.05180367
SAMSUNG,4,32,4.1,46300,Cluster 2,4.723114957,0,0
SAMSUNG,4,32,4.1,46300,Cluster 2,4.653235653,0.025,0.005372606
SAMSUNG,4,32,3.9,46900,Cluster 1,1.084537091,-0.093023256,-0.085772314
Nokia,6,128,4.3,46988,Cluster 0,-0.211478436,0.048780488,-0.230664122
vivo,8,128,4.5,46990,Cluster 0,-0.113228911,0,0
ASUS,8,128,4.4,46999,Cluster 0,4.875609451,0.073170732,0.015007505
HTC,4,32,4.2,47990,Cluster 2,2.817820207,0.105263158,0.037356236
Apple,3,128,4.6,47999,Cluster 0,-0.225810094,0.022222222,-0.098411111
Apple,3,128,4.6,47999,Cluster 0,-0.225810094,0.022222222,-0.098411111
Apple,3,128,4.6,47999,Cluster 0,-0.392410031,0,0
Apple,3,128,4.6,47999,Cluster 0,-0.157897507,0.022222222,-0.140738272
Apple,3,128,4.6,47999,Cluster 0,-0.157897507,0.022222222,-0.140738272
Apple,3,128,4.6,47999,Cluster 0,0.116281774,0,0
Apple,3,128,4.6,47999,Cluster 0,-0.392410031,0,0
Apple,3,128,4.6,47999,Cluster 0,0.454559229,0.022222222,0.048887407
Apple,3,128,4.6,47999,Cluster 0,-0.477704026,0,0
realme,12,256,4.3,47999,Cluster 0,0.714311225,0,0
realme,12,256,4.3,47999,Cluster 0,0.142860544,0,0
SAMSUNG,6,128,4.6,48669,Cluster 0,-0.261471927,0.045454545,-0.173841016
vivo,12,256,5,48780,Cluster 4,-0.112929624,0.136363636,-1.207509881
Apple,1,128,4.5,48999,Cluster 0,-0.245007704,-0.02173913,0.088728355
Apple,1,64,4.5,48999,Cluster 0,0.403982808,0.022727273,0.05625802
Apple,1,64,4.5,48999,Cluster 0,-0.363641086,-0.042553191,0.117019757
Apple,4,64,4.6,49900,Cluster 0,0.111358575,0.022222222,0.199555556
Apple,4,64,4.6,49900,Cluster 0,0.039604992,0,0
Apple,4,64,4.6,49900,Cluster 0,-0.276801113,0,0
Apple,4,64,4.6,49900,Cluster 0,-0.644333571,0,0
Apple,3,64,4.6,49900,Cluster 0,0.279519988,0.022222222,0.079501371
Apple,3,64,4.6,49900,Cluster 0,-0.091074681,0.022222222,-0.244
Apple,4,64,4.6,49900,Cluster 0,0.039604992,0,0
Apple,4,64,4.6,49900,Cluster 0,0.512167035,0.022222222,0.043388623
Apple,4,64,4.6,49900,Cluster 0,-0.368346435,0,0
Apple,3,64,4.6,49900,Cluster 0,-0.00198004,0.045454545,-22.956382
Apple,4,64,4.6,49900,Cluster 0,-0.287142857,0.045454545,-0.158299412
Apple,4,64,4.6,49900,Cluster 0,-0.302097902,0.022222222,-0.073559671
SAMSUNG,8,128,4.3,49980,Cluster 0,2.145374449,0,0
SAMSUNG,4,64,4.6,49990,Cluster 0,16.00340136,0.12195122,0.007620331
vivo,8,256,4.4,49990,Cluster 0,2.730597015,0.023255814,0.008516751
vivo,8,256,4.5,49990,Cluster 0,-0.375046881,0,0
SAMSUNG,4,64,3.9,49990,Cluster 1,0.666888963,0,0
SAMSUNG,3,32,4.1,49990,Cluster 2,1.241704036,-0.068181818,-0.054909879
Apple,1,128,4.4,49999,Cluster 0,0.351689646,0,0
Apple,2,64,4.5,49999,Cluster 0,0.432636103,0,0
Apple,2,64,4.5,49999,Cluster 0,-0.166669444,0.022727273,-0.136361364
Apple,2,64,4.5,49999,Cluster 0,-0.089271403,-0.02173913,0.243517295
SAMSUNG,8,128,4,49999,Cluster 0,-0.358978961,-0.069767442,0.194349668
SAMSUNG,8,128,4,49999,Cluster 0,1.747348755,-0.069767442,-0.0399276
SAMSUNG,6,64,4.6,49999,Cluster 0,-0.285728571,0.022222222,-0.077773889
SAMSUNG,8,128,4,49999,Cluster 0,0.315797784,-0.069767442,-0.220924419
SAMSUNG,8,128,4,49999,Cluster 0,-0.054928646,-0.069767442,1.270146769
SAMSUNG,8,128,4,49999,Cluster 0,1.380904762,-0.069767442,-0.050522993
Apple,2,16,4.4,49999,Cluster 2,-0.620932525,-0.063829787,0.102796656
Apple,2,16,4.4,49999,Cluster 2,0.369873147,0,0
Apple,2,16,4.4,49999,Cluster 2,0.190480726,-0.022222222,-0.116663889
SAMSUNG,8,512,4.5,49999,Cluster 4,1.857248986,0.071428571,0.038459341
SAMSUNG,8,512,4.6,49999,Cluster 4,3.545363636,0.069767442,0.019678501
ASUS,8,128,4.3,49999,Cluster 0,0.633954248,0.075,0.118305067
ASUS,8,128,4.3,49999,Cluster 0,5.667422323,0.131578947,0.023216718
LG,4,64,4.4,50000,Cluster 0,0.901212974,-0.022222222,-0.024658125
SAMSUNG,3,32,4.2,50650,Cluster 2,2.165822864,0.076923077,0.035516791
SAMSUNG,3,32,4.1,51000,Cluster 2,9.647181628,0.138888889,0.014396836
Apple,1,16,4.4,52000,Cluster 2,-0.391100703,-0.022222222,0.056819694
SAMSUNG,8,128,4.3,52905,Cluster 0,26.14468958,-0.14,-0.005354816
vivo,12,256,4.5,52990,Cluster 0,0.060012002,0,0
LG,4,32,4,52990,Cluster 1,1.0388611,-0.069767442,-0.067157623
SAMSUNG,3,64,4,53900,Cluster 1,0.164146868,-0.024390244,-0.148587933
SAMSUNG,3,64,4,53900,Cluster 1,-0.23,-0.111111111,0.483091787
HTC,3,32,4.1,53900,Cluster 2,0.389175258,0.051282051,0.131771099
HTC,6,128,4.6,53990,Cluster 0,3.319545564,0.069767442,0.021017167
HTC,6,128,4.6,53990,Cluster 0,-0.142879822,0.15,-1.049833333
SAMSUNG,6,128,4.6,53999,Cluster 0,2.600173345,0.069767442,0.026831843
SAMSUNG,8,256,4.3,54599,Cluster 0,2.106628734,0,0
Apple,4,128,4.6,54900,Cluster 0,0.143773829,0,0
Apple,4,128,4.6,54900,Cluster 0,-0.036825207,0.022222222,-0.603451379
Apple,4,128,4.6,54900,Cluster 0,-0.23748941,0.022222222,-0.093571424
Apple,2,256,4.5,54900,Cluster 0,-0.142174096,-0.02173913,0.152905002
Apple,2,256,4.5,54900,Cluster 0,-0.23748941,0,0
Apple,4,128,4.6,54900,Cluster 0,-0.607576841,0,0
Apple,2,256,4.5,54900,Cluster 0,-0.35335689,-0.02173913,0.061521739
Apple,4,64,4.6,54900,Cluster 0,-0.313741422,0,0
Apple,4,128,4.6,54900,Cluster 0,0.222717149,0.022222222,0.099777778
Apple,2,256,4.5,54900,Cluster 0,-0.154083205,-0.02173913,0.141086957
Apple,4,128,4.6,54900,Cluster 0,-0.204336295,0,0
Apple,4,128,4.6,54900,Cluster 0,0.276773878,0,0
Apple,4,128,4.6,54900,Cluster 0,-0.402611534,0,0
Apple,4,128,4.6,54900,Cluster 0,-0.402611534,0,0
Apple,4,128,4.6,54900,Cluster 0,-0.313741422,0,0
Apple,4,128,4.6,54900,Cluster 0,-0.357142857,0.022222222,-0.062222222
Apple,4,128,4.6,54900,Cluster 0,-0.486435921,0,0
vivo,12,256,4.4,54990,Cluster 0,0.170248989,-0.022222222,-0.130527778
vivo,8,256,4.5,54990,Cluster 0,0.127306273,-0.1,-0.785507246
SAMSUNG,8,128,4.3,54990,Cluster 0,2.23489617,-0.022727273,-0.010169275
SAMSUNG,8,128,4.4,54999,Cluster 0,6.858122589,0.047619048,0.006943452
